robot_id,keyframe_id,timestamp,x,y,z,qx,qy,qz,qw
robot_0,0,1000.121281838,0.0000000000,0.0000000000,0.0000000000,-0.0070679681,0.0056483746,0.0000399242,0.9999590516
robot_0,1,1005.721388834,0.5200251341,0.0067943009,-0.0020402414,-0.0000046728,0.0024357876,0.0075681075,0.9999684095
robot_0,2,1008.421011838,1.0358196497,0.0394090526,-0.0043178080,-0.0044761277,0.0120573761,0.0217976887,0.9996796846
robot_0,3,1011.920463839,1.5432392359,0.0843036696,-0.0216798540,-0.0130084166,0.0078652641,0.0162008610,0.9997531772
robot_0,4,1015.220750833,2.0448780060,0.1212435439,-0.0339387916,-0.0142804729,0.0306050591,0.0194095355,0.9992410541
robot_0,5,1018.22137784,2.5500562191,0.1899550557,-0.0568146110,-0.0139261791,0.0112517504,0.0271767899,0.9994702935
robot_0,6,1020.520913841,3.0973458290,0.2684861422,-0.0725901201,-0.0240668561,0.0163895376,0.0399101824,0.9987789392
robot_0,7,1022.121138833,3.5977027416,0.3037844002,-0.0808126479,-0.0045092925,0.0084928488,0.0513956919,0.9986320734
robot_0,8,1023.421022836,4.0967893600,0.3540976346,-0.1009029597,0.0000135526,0.0110945888,0.0508717038,0.9986435771
robot_0,9,1024.621069839,4.6040110588,0.4297819138,-0.1062761024,-0.0028949671,0.0102781504,0.0532078333,0.9985263944
robot_0,10,1025.920540835,5.1182723045,0.5091731548,-0.1284637600,-0.0140199838,0.0202839505,0.0474302471,0.9985701442
robot_0,11,1027.120334834,5.6557612419,0.5845245719,-0.1422432363,-0.0195963513,0.0121901045,0.0550533906,0.9982166886
robot_0,12,1028.220591835,6.1802344322,0.6554471254,-0.1528549492,-0.0109909074,0.0209151041,0.0483526140,0.9985508323
robot_0,13,1029.420288835,6.7315349579,0.6988688707,-0.1699587554,-0.0164707880,0.0038600764,0.0010724660,0.9998562932
robot_0,14,1030.420427109,7.2400465012,0.7259151340,-0.1753280163,-0.0238057021,0.0041967202,0.0159695316,0.9995802641
robot_0,15,1031.620277834,7.8474521637,0.8112071157,-0.1768962592,-0.0276980642,0.0020025305,0.0615269020,0.9977190495
robot_0,16,1032.620662837,8.3710594177,0.8731283545,-0.1901277453,-0.0196748264,0.0193595774,0.0674892515,0.9973381162
robot_0,17,1033.820647837,8.9489450455,0.9525993466,-0.1938790977,-0.0024490084,0.0125289671,0.0681131333,0.9975959063
robot_0,18,1034.82059884,9.4646368027,1.0040290356,-0.2066425681,0.0183947179,0.0125421798,0.0582122281,0.9980559349
robot_0,19,1036.119994839,10.0962333679,1.0572742224,-0.2204386890,0.0268539228,0.0063211322,0.0364063047,0.9989562035
robot_0,20,1037.320772835,10.7425651550,1.1368224621,-0.2367213964,0.0198801458,0.0253058504,0.0523789674,0.9981086254
robot_0,21,1038.320441838,11.2395906448,1.2177864313,-0.2442099154,0.0284857322,0.0217194296,0.1002539396,0.9943168163
robot_0,22,1039.020213835,11.5441141129,1.3241885900,-0.2561928928,0.0321178995,0.0189438593,0.1984791011,0.9793955088
robot_0,23,1039.72045284,11.8773918152,1.5069003105,-0.2711646855,0.0229668710,0.0226682182,0.3033598363,0.9523295164
robot_0,24,1040.920680839,12.3021554947,1.9104084969,-0.2756499946,-0.0113845579,-0.0077786394,0.2991751432,0.9540985823
robot_0,25,1041.919885839,12.7279071808,2.2301893234,-0.2684796154,-0.0404181778,0.0076778736,0.1475717276,0.9881953001
robot_0,26,1042.420463838,13.0533628464,2.2932345867,-0.2334035188,-0.0447765812,0.0196783282,0.0095881866,0.9987571836
robot_0,27,1043.119598837,13.3375768661,2.2741169930,-0.2799872756,-0.0434857495,0.0101548545,-0.0789571181,0.9958773255
robot_0,28,1044.520085107,14.0188341141,2.1283516884,-0.3063328862,-0.0063240090,0.0095230155,-0.1079987288,0.9940853119
robot_0,29,1045.519945839,14.5110855103,1.9586815834,-0.3022764921,0.0073928186,-0.0000435823,-0.1222857386,0.9924674034
robot_0,30,1046.620550835,15.0509157181,1.8194527626,-0.3058499098,0.0133319786,-0.0023026466,-0.1272779852,0.9917747974
robot_0,31,1047.520193839,15.4906368256,1.7596353292,-0.3011177778,0.0059495526,-0.0056410166,-0.0149844065,0.9998540878
robot_0,32,1048.619741834,16.0460681915,1.8121513128,-0.3134266436,-0.0038220044,0.0079878950,0.0323705636,0.9994367361
robot_0,33,1049.620468841,16.5476989746,1.8608022928,-0.3170255125,0.0017718468,0.0193112697,0.0566872284,0.9982036352
robot_0,34,1050.719952837,17.0818347931,1.9380216599,-0.3377540708,-0.0046363957,0.0174679160,0.0488074161,0.9986447096
robot_0,35,1051.719940833,17.5912113190,2.0153536797,-0.3368025124,-0.0093629379,0.0025108522,0.0432098024,0.9990189672
robot_0,36,1052.919979837,18.2117137909,2.0858473778,-0.3480555713,-0.0043817270,0.0057919477,0.0400625579,0.9991707802
robot_0,37,1054.019950835,18.7334270477,2.1273946762,-0.3573413193,-0.0050647566,0.0049342164,0.0255687200,0.9996480346
robot_0,38,1055.020151838,19.2628040314,2.1790769100,-0.3681981862,-0.0155568887,0.0072576888,0.0295980927,0.9994144440
robot_0,39,1056.020290834,19.7774715424,2.2309832573,-0.3827031553,-0.0152089344,0.0096101705,0.0421182066,0.9989506602
robot_0,40,1057.219734836,20.3399658203,2.3047466278,-0.3778446615,-0.0144158835,0.0005887815,0.0392452516,0.9991254210
robot_0,41,1058.219935837,20.8890972137,2.3438346386,-0.3786047399,-0.0154417930,0.0072527244,0.0416221656,0.9989877343
