robot_id,keyframe_id,timestamp,x,y,z,qx,qy,qz,qw
robot_1,0,1000.150345086,0.0000000000,0.0000000000,0.0000000000,0.0191414654,0.0259126611,-0.0004962640,0.9994807839
robot_1,1,1005.548303126,-0.0583083071,0.0113795912,-0.0009116533,0.0248399805,0.0174265802,-0.0778352618,0.9965043664
robot_1,2,1006.447462081,-0.0875187740,0.0559673496,0.0129933404,0.0136499070,0.0289388895,-0.1606527567,0.9864922166
robot_1,3,1006.747076988,-0.0919735134,0.1096015275,-0.0063098790,0.0067538680,0.0208711289,-0.2426357716,0.9698694348
robot_1,4,1007.046802043,-0.1115307808,0.1018107459,0.0101829534,0.0078115608,0.0196317788,-0.3205390275,0.9469996095
robot_1,5,1007.44683814,-0.0356082506,0.1254989356,0.0056874105,0.0069977641,0.0211688783,-0.4073922634,0.9129810929
robot_1,6,1007.846433161,-0.0913360119,0.1252135038,-0.0003069169,0.0079685487,0.0146302413,-0.4994137585,0.8662034273
robot_1,7,1008.446367025,-0.0891389996,0.0611709394,0.0077496856,0.0139391525,0.0104019241,-0.6224779487,0.7824440598
robot_1,8,1008.846225976,-0.0672556534,0.0436724797,0.0116094938,0.0192821268,0.0116449250,-0.6851557493,0.7280482054
robot_1,9,1009.245400189,-0.0710042790,-0.0058673825,0.0036190546,0.0170064028,0.0261962470,-0.7521204352,0.6582852006
robot_1,10,1009.745326995,-0.1071914732,-0.0501719154,0.0131234545,0.0212963354,0.0087159052,-0.8024405241,0.5962882042
robot_1,11,1010.144888162,-0.0588893741,-0.1015843675,0.0056138667,0.0217211600,0.0271971822,-0.8498121500,0.5259351730
robot_1,12,1010.745609998,-0.0764812082,-0.1658158153,-0.0006907295,-0.0196997728,-0.0314604081,0.9026466012,-0.4287787676
robot_1,13,1010.945609092,-0.1084159911,-0.1838233024,0.0207327921,-0.0083714770,-0.0386241339,0.9348805547,-0.3527555168
robot_1,14,1011.144441127,-0.0298539232,-0.2013683468,-0.0014766820,0.0005334932,-0.0393569693,0.9618982673,-0.2705596387
robot_1,15,1011.544416188,-0.0170624908,-0.1471372098,0.0032570746,-0.0157316662,-0.0247663129,0.9831516147,-0.1804217547
robot_1,16,1011.844393968,-0.1101288870,-0.1359999627,0.0025686575,-0.0207338203,-0.0177680869,0.9942928553,-0.1031316146
robot_1,17,1012.244017123,-0.1233137324,-0.1521942914,0.0062220399,-0.0180815645,-0.0163314398,0.9996035695,-0.0141074648
robot_1,18,1012.643766163,-0.1365392208,-0.1747096777,-0.0066676275,-0.0051932060,-0.0281049106,0.9958032370,0.0869428664
robot_1,19,1013.043928145,-0.1479907632,-0.2094948143,-0.0027810060,-0.0034696502,-0.0330793038,0.9834256768,0.1782348603
robot_1,20,1013.54365301,-0.0542834774,-0.2095383704,0.0040574218,0.0014223743,-0.0257838648,0.9629870057,0.2683079541
robot_1,21,1013.843600034,-0.0672001988,-0.2178543508,-0.0088816257,0.0051422347,-0.0178975295,0.9363479614,0.3505791724
robot_1,22,1014.142953157,-0.0795263723,-0.2231905013,-0.0127876876,0.0115259839,-0.0111245224,0.8991934061,0.4372580349
robot_1,23,1014.642753123,-0.1213740930,-0.2274208516,0.0033478441,0.0050666751,-0.0154705811,0.8623608947,0.5060322881
robot_1,24,1014.942715167,-0.0871222317,-0.2445229292,0.0031233695,0.0032637271,-0.0152693549,0.8209918141,0.5707263350
robot_1,25,1015.242195129,-0.0772385821,-0.2392138541,-0.0131711876,0.0188621581,-0.0105749993,0.7566570044,0.6534543037
robot_1,26,1015.542488097,-0.1018805504,-0.2404146641,-0.0011194814,0.0212235041,-0.0090569174,0.6989730597,0.7147756219
robot_1,27,1015.84239006,-0.0636568218,-0.2546536326,-0.0015087964,0.0236249827,-0.0061169583,0.6407521367,0.7673598528
robot_1,28,1016.341297149,-0.0675046369,-0.2714961171,-0.0054348265,0.0272101704,-0.0009524309,0.5457951427,0.8374761939
robot_1,29,1016.941467046,-0.1048234329,-0.2928613126,-0.0059635080,0.0279215649,0.0210817847,0.4160948098,0.9086479545
robot_1,30,1017.340942143,-0.0347368568,-0.2596059740,0.0028122847,0.0193314031,0.0051312749,0.3200459778,0.9471908808
robot_1,31,1017.840841054,-0.1382485926,-0.3068962991,-0.0099405004,0.0333146043,0.0187751427,0.1972198635,0.9796131849
robot_1,32,1018.64028406,0.0049585104,-0.2952409983,-0.0001714621,0.0382848531,0.0146879097,0.1211498901,0.9917868972
robot_1,33,1019.840500115,0.3273456395,-0.2190029770,0.0015133413,0.0338657498,0.0102710295,0.0268901363,0.9990117550
robot_1,34,1021.939212082,0.8489957452,-0.2262183726,-0.0061755399,0.0171466097,0.0130877504,0.0412476324,0.9989160895
robot_1,35,1023.03813815,1.3480154276,-0.1675747931,-0.0147370556,0.0207418334,0.0374369808,0.1181110814,0.9920776486
robot_1,36,1024.237534045,1.9503352642,-0.0759742036,-0.0292831473,0.0350456201,0.0090138130,0.0813034624,0.9960322976
robot_1,37,1025.237385987,2.4543697834,-0.0284027737,-0.0170541983,0.0252572466,0.0148208868,0.0387992002,0.9988178015
robot_1,38,1026.336364983,2.9813237190,0.0096345479,-0.0259661227,0.0305552110,0.0230173729,0.0778001845,0.9962347746
robot_1,39,1027.235712051,3.4616799355,0.1246083602,-0.0312577598,0.0156177497,0.0281716958,0.1554397941,0.9873200655
robot_1,40,1028.335313081,3.9773318768,0.3720544875,-0.0483830981,-0.0184691940,0.0126593253,0.1939413697,0.9807575345
robot_1,41,1029.335338115,4.4082331657,0.6318928599,-0.0706613511,-0.0524247028,0.0440391563,0.2209705710,0.9728742242
robot_1,42,1029.834647177,4.6502995491,0.8030452132,-0.1042465344,-0.0780385435,0.0365274213,0.1215557382,0.9888376594
robot_1,43,1030.134091138,4.7336363792,0.8560093045,-0.1040546894,-0.0823142454,0.0258681420,0.0193392467,0.9960829020
robot_1,44,1031.03394699,5.2389960289,0.8445572257,-0.1164558679,-0.0748487487,0.0214119889,0.0005564003,0.9969648123
robot_1,45,1032.133630036,5.8147654533,0.8182352781,-0.1287382692,-0.0461167209,0.0231816322,0.0005100478,0.9986668825
robot_1,46,1033.232262133,6.3623156548,0.7971690893,-0.1427330226,-0.0251580980,0.0230708979,0.0019034465,0.9994153976
robot_1,47,1034.232669114,6.8679471016,0.7737478614,-0.1418555528,-0.0150389057,0.0195678044,-0.0059502614,0.9996777177
robot_1,48,1035.331557034,7.3866114616,0.7656299472,-0.1436576247,-0.0091965627,0.0107580731,-0.0063353200,0.9998797774
robot_1,49,1036.230973004,7.8929142952,0.7575384974,-0.1512421370,-0.0182929691,0.0220519304,-0.0121211894,0.9995159507
robot_1,50,1037.430399178,8.4475212097,0.7112751603,-0.1409341842,0.0011694161,0.0105175590,-0.0163564309,0.9998102188
robot_1,51,1038.729317187,9.1298580170,0.6877122521,-0.1465408802,-0.0015057983,0.0133837527,-0.0239589065,0.9996222258
robot_1,52,1039.729659079,9.7307662964,0.6614738703,-0.1564487219,-0.0103587750,0.0278201848,-0.0251540635,0.9992427230
robot_1,53,1040.928740977,10.2705345154,0.6137280464,-0.1692916006,-0.0085526323,0.0294069704,-0.0248923451,0.9992209077
robot_1,54,1042.027855156,10.7934083939,0.5864131451,-0.1735247821,0.0046886196,0.0100283269,0.0146393962,0.9998315573
robot_1,55,1043.027284144,11.3163013458,0.6259371638,-0.1838705689,-0.0034416006,0.0328072980,0.0380893424,0.9987297058
robot_1,56,1043.927337169,11.8170261383,0.6430180073,-0.2039957345,-0.0014410125,0.0382375680,0.0283168349,0.9988663197
