robot_id,keyframe_id,timestamp,x,y,z,qx,qy,qz,qw
robot_0,0,1000.171308776,0.0000000000,0.0000000000,0.0000000000,-0.0067460299,0.0017505052,0.0000118092,0.9999757409
robot_0,1,1003.271424776,0.0018195033,-0.0043388014,0.0019259116,0.0004266728,0.0051572598,0.0955663025,0.9954096079
robot_0,2,1003.572506771,-0.0173256472,0.0550264083,-0.0155482348,-0.0117633194,0.0127918078,0.1917877346,0.9812825322
robot_0,3,1005.071348772,0.5626340508,0.2890213132,0.0034333877,-0.0124724237,0.0133649213,0.2213252187,0.9750286937
robot_0,4,1006.171333175,0.8361712694,0.4479387105,-0.0097596832,-0.0159802958,0.0019243521,0.3091863692,0.9508652687
robot_0,5,1006.771105171,0.8512270451,0.4839550555,-0.0118040871,-0.0119382031,0.0127819674,0.3836528063,0.9233117700
robot_0,6,1007.170944177,0.8934571743,0.5001363158,-0.0153105604,-0.0048051304,0.0235331096,0.4651141167,0.8849248290
robot_0,7,1007.371726171,0.9130453467,0.5048439503,-0.0122925201,0.0047996556,0.0266214442,0.5446181297,0.8382477760
robot_0,8,1007.571632173,0.9235287905,0.4910603166,-0.0212464966,0.0094314953,0.0179228801,0.6154962778,0.7878795266
robot_0,9,1007.771494173,0.9445996881,0.4958008230,-0.0268358905,0.0241742264,0.0075157764,0.6749825478,0.7373992801
robot_0,10,1008.371170174,1.0086060762,0.4271841347,-0.0265798122,0.0208865535,0.0357672125,0.7622671127,0.6459360123
robot_0,11,1008.67143117,1.0512410402,0.3789339364,-0.0257630404,0.0204585902,0.0393438712,0.8139012456,0.5793084502
robot_0,12,1008.971411171,1.0422102213,0.3211370707,-0.0186738465,0.0267018564,0.0364187919,0.8655470610,0.4987874627
robot_0,13,1009.271602123,0.9812994599,0.1883973479,-0.0031236815,0.0113226576,0.0195940118,0.9115243554,0.4106228948
robot_0,14,1009.771591853,1.1675317287,0.2026964724,-0.0288779866,0.0434993207,0.0138895568,0.9410223961,0.3352487683
robot_0,15,1010.071641854,1.0659989119,0.0602825359,-0.0268712621,0.0464189313,0.0014849642,0.9669525623,0.2506907880
robot_0,16,1010.470873851,1.1467032433,0.0429955646,-0.0305499975,0.0538467653,-0.0082056215,0.9916172028,0.1171685085
robot_0,17,1010.772065856,1.1175546646,0.0189484488,-0.0237089079,0.0413253978,0.0021311897,0.9990953803,0.0098029394
robot_0,18,1012.171614853,1.4251431227,-0.1136751398,-0.0653094873,0.0479703546,-0.0297802910,0.9954709411,-0.0764827877
robot_0,19,1013.071269853,1.4425033331,-0.0793631375,-0.0636845976,0.0376406051,-0.0272874255,0.9989184737,0.0006412223
robot_0,20,1013.471422411,1.5487079620,-0.0018613366,-0.0383274443,0.0375213288,-0.0016420225,0.9929767847,0.1121899933
robot_0,21,1013.871739413,1.5066454411,-0.1461846381,-0.0741641149,0.0320665501,-0.0206823424,0.9774895906,0.2075043619
robot_0,22,1014.170811411,1.6461768150,-0.1203307435,-0.0765496269,0.0481103770,-0.0069625163,0.9500480890,0.3082944751
robot_0,23,1014.77130641,1.6296906471,-0.1560606211,-0.0772405267,0.0533395074,0.0021483095,0.9211754799,0.3854685426
robot_0,24,1015.371313416,1.7128412724,-0.1621496230,-0.0671621636,0.0634561181,0.0051410347,0.8312717080,0.5522084236
robot_0,25,1016.170914417,1.6788476706,-0.0496952645,-0.0490043387,0.0820688009,-0.0252757203,0.7826467156,0.6165143847
